label,score,model
0.0,0.3030982450561795,llama-3.1-8b-instant
0.0,0.42062814042324814,qwen/qwen3-32b
0.0,0.487289782878343,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.39996483143544104,llama-3.1-8b-instant
0.0,0.3861437075850356,qwen/qwen3-32b
0.0,0.8229151547397963,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.6831733279759081,llama-3.1-8b-instant
0.0,0.6259730609293244,qwen/qwen3-32b
0.0,0.7566296235960243,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.2838137569871379,llama-3.1-8b-instant
0.0,0.3293719033855521,qwen/qwen3-32b
0.0,0.5711864042763937,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.7866466139459621,llama-3.1-8b-instant
0.0,0.4093562376166222,qwen/qwen3-32b
0.0,0.6588285739847314,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.46063114145728784,llama-3.1-8b-instant
0.0,0.29278716788441317,qwen/qwen3-32b
0.0,0.7862155428602249,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.9824266265588023,llama-3.1-8b-instant
0.0,0.582533595381097,qwen/qwen3-32b
0.0,0.9943393789248818,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.2646302430055175,llama-3.1-8b-instant
0.0,0.29129724713709676,qwen/qwen3-32b
0.0,0.3732925590129056,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.5946629978531882,llama-3.1-8b-instant
0.0,0.31460358588414455,qwen/qwen3-32b
0.0,0.972813257716462,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.7258300161423724,llama-3.1-8b-instant
0.0,0.42391215409717525,qwen/qwen3-32b
0.0,0.3753535313174464,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.5783394993480804,llama-3.1-8b-instant
0.0,0.46916291229315854,qwen/qwen3-32b
0.0,0.4309647055085906,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.6643635257523379,llama-3.1-8b-instant
0.0,0.39678137300394406,qwen/qwen3-32b
0.0,0.7235881035609105,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.4291131595067223,llama-3.1-8b-instant
0.0,0.2601820009620145,qwen/qwen3-32b
0.0,0.3464812458723566,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.426958260222193,llama-3.1-8b-instant
0.0,0.42406059348729175,qwen/qwen3-32b
0.0,0.5077239588939316,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.8499971447365778,llama-3.1-8b-instant
0.0,0.3146299134438491,qwen/qwen3-32b
0.0,0.31565818335118895,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.48690655000357025,llama-3.1-8b-instant
0.0,0.3311575138260238,qwen/qwen3-32b
0.0,0.9999487423857972,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.9999999969754529,llama-3.1-8b-instant
0.0,0.9187484182206666,qwen/qwen3-32b
0.0,0.999978617409021,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.3651195443893431,llama-3.1-8b-instant
0.0,0.42782666963669924,qwen/qwen3-32b
0.0,0.45785855999970726,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.7964869322065898,llama-3.1-8b-instant
0.0,0.23541869974376653,qwen/qwen3-32b
0.0,0.9140248167987463,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.2962808550704184,llama-3.1-8b-instant
0.0,0.21853830733706833,qwen/qwen3-32b
0.0,0.46902516688075496,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.6604245358635342,llama-3.1-8b-instant
0.0,0.26679726316940233,qwen/qwen3-32b
0.0,0.9999995258711728,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.26273168532632174,llama-3.1-8b-instant
0.0,0.21992948886764108,qwen/qwen3-32b
0.0,0.26835662772389673,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.4988894947096368,llama-3.1-8b-instant
0.0,0.23913850106284487,qwen/qwen3-32b
0.0,0.9604175578942741,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.38010061775343773,llama-3.1-8b-instant
0.0,0.3750025231815584,qwen/qwen3-32b
0.0,0.9440015659589319,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.5774283566419789,llama-3.1-8b-instant
0.0,0.6884058709517441,qwen/qwen3-32b
0.0,0.7053123092362856,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.2852969590140064,llama-3.1-8b-instant
0.0,0.49439919738436566,qwen/qwen3-32b
0.0,0.4269754020018581,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.31535140160795966,llama-3.1-8b-instant
0.0,0.28115499923531295,qwen/qwen3-32b
0.0,0.28222435416832486,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.5560808219609622,llama-3.1-8b-instant
0.0,0.5368419095596917,qwen/qwen3-32b
0.0,0.5211198350602902,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.5714957016219309,llama-3.1-8b-instant
0.0,0.3450045599876879,qwen/qwen3-32b
0.0,0.46760878114067744,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.730519740582729,llama-3.1-8b-instant
0.0,0.29782226590865807,qwen/qwen3-32b
0.0,0.42640580129316946,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.31782336885577617,llama-3.1-8b-instant
0.0,0.5531609607979312,qwen/qwen3-32b
0.0,0.7940550110987435,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.267351289193736,llama-3.1-8b-instant
0.0,0.47998067174234343,qwen/qwen3-32b
0.0,0.5246530755175386,meta-llama/llama-4-scout-17b-16e-instruct
0.0,0.44838394315306984,llama-3.1-8b-instant
0.0,0.3593484879026877,qwen/qwen3-32b
0.0,0.47090487754671745,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.4098798915740891,llama-3.1-8b-instant
1.0,0.48164372408621114,qwen/qwen3-32b
1.0,0.9977648562440091,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.9990746911870234,llama-3.1-8b-instant
1.0,0.532440788465096,qwen/qwen3-32b
1.0,0.7937460405834859,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.34858567981542515,llama-3.1-8b-instant
1.0,0.2371310779919712,qwen/qwen3-32b
1.0,0.660823264010375,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.5630686667831665,llama-3.1-8b-instant
1.0,0.2910580086143894,qwen/qwen3-32b
1.0,0.5715329450142796,meta-llama/llama-4-scout-17b-16e-instruct
1.0,0.5234149368795722,llama-3.1-8b-instant
1.0,0.35001107452639907,qwen/qwen3-32b
1.0,0.957760716067535,meta-llama/llama-4-scout-17b-16e-instruct
