method_name,auroc,ece,scores
len_avg_orig,0.818452380952381,0.1296365883765423,"[0.33333333 0.33333333 0.66666667 0.66666667 0.         0.
 1.         1.         0.         0.         1.         0.98534799
 0.         0.         0.26262626 0.         1.         1.
 0.70851371 1.         0.83333333 0.14365672 1.         1.
 0.66666667 0.66666667]"
ncd_std_inv,0.6220238095238095,0.07797347226999227,"[0.2        0.6        0.125      0.5        0.2        0.5
 0.40565197 1.         0.6        0.65188562 1.         0.5
 0.2        0.6        0.         0.65482859 0.5        1.
 0.2        0.50856241 0.33138169 0.6        0.5        1.
 0.5        1.        ]"
Eccentricity_inv,0.4821428571428571,0.1595927302052616,"[0.33333333 0.4        0.875      0.875      0.4        0.9
 0.875      0.         1.         0.4        0.3        0.3
 0.4        0.42154989 0.3        0.875      0.75953796 0.2
 0.33333333 0.36239905 0.4        0.4        0.33333333 0.875
 0.875      0.875     ]"
SentenceSAR_inv,0.4107142857142857,0.11517778448392525,"[0.71428571 0.92798072 0.64285714 0.64285714 0.         0.
 0.5        0.62032506 0.71428571 0.75       0.66666667 0.08351118
 0.71428571 0.6875     0.64285714 0.64285714 0.64285714 0.64285714
 0.68421053 0.         0.18712083 0.         0.64285714 0.64285714
 0.5        0.64285714]"
Semantic_Density_inv,0.4107142857142857,0.12941413372685584,"[0.69230769 0.93106012 0.63157895 0.63157895 0.         0.
 0.6        0.6        0.69230769 0.75       0.65       0.10513634
 0.69230769 0.68421053 0.63157895 0.63157895 0.63157895 0.63157895
 0.68421053 0.         0.19071095 0.         0.63157895 0.63157895
 0.6        0.63157895]"
len_var_inv,0.4017857142857143,0.3552385023496829,"[0.4375     0.4375     0.4217544  0.8        0.4375     0.41176471
 0.91254005 0.8        1.         0.4375     1.         0.8
 0.4375     0.4375     0.375      0.23017074 0.375      0.375
 0.4375     0.4375     0.4375     0.76718736 0.375      0.8
 0.375      0.375     ]"
EigValLaplacian_inv,0.37202380952380953,0.24537939966336647,"[0.         0.6        0.66666667 0.5        0.72727273 0.75
 0.71428571 0.25       1.         0.66666667 0.66666667 0.4
 0.5        0.5        0.33333333 0.66666667 0.5        0.13749383
 0.36023393 0.5        0.625      0.83333333 0.375      0.5
 0.65270038 0.66666667]"
ncd_avg_orig,0.25000000000000006,0.27654931127060245,"[0.4        0.4        0.4        0.5        0.66666667 0.71428571
 0.58333333 0.625      0.4359418  0.6        0.         0.58333333
 0.4        0.6        0.2        0.5        0.58333333 0.58333333
 0.6        0.66666667 0.71428571 1.         0.4        0.58333333
 0.3440142  0.5       ]"
Lexical_Similarity_inv,0.21428571428571425,0.17760067525954942,"[0.53333333 0.77869757 0.93148917 0.46666667 0.53333333 0.5
 0.46666667 0.         0.53333333 0.53333333 1.         0.46666667
 0.53333333 0.53333333 1.         0.46666667 0.43707582 0.33333333
 0.53333333 0.5        0.5        0.5        0.46666667 0.33333333
 0.46666667 0.46666667]"
len_var_orig,0.19642857142857142,0.08027664200591816,"[0.52380952 0.52380952 0.47619048 0.47619048 0.52380952 1.
 0.47619048 0.47619048 0.52380952 0.52380952 0.47619048 0.47619048
 0.52380952 0.59900109 0.47619048 0.66666667 0.47619048 0.65466555
 0.52380952 0.52380952 0.52380952 0.52380952 0.47619048 0.47619048
 0.47619048 0.66666667]"
Lexical_Similarity_orig,0.1904761904761905,0.227856334841629,"[0.5        0.5        0.33333333 0.5        0.6        0.66666667
 0.53333333 0.5625     0.5        0.58823529 0.33333333 0.53333333
 0.5        0.6        0.33333333 0.5        0.53333333 0.53333333
 0.6        0.625      0.625      1.         0.5        0.53333333
 0.375      0.5       ]"
DegMat_orig,0.1607142857142857,0.158691355134239,"[1.         0.6        0.55       0.55       0.6        0.6
 0.55       0.55       0.50014934 0.6        0.56521739 0.55
 0.6        0.         0.55       0.55       0.55       0.56521739
 0.75       0.66666667 0.6        0.6        0.55       0.55
 0.41010731 0.55      ]"
DegMat_inv,0.15476190476190477,0.30289351093211825,"[0.5        0.64285714 0.55555556 0.44444444 0.57116772 0.55555556
 0.57142857 0.5        0.75       0.66666667 0.44444444 0.5
 0.71428571 0.75       0.55555556 0.57142857 0.44444444 0.39487083
 0.55555556 0.55555556 0.64285714 0.55555556 0.44444444 0.5
 0.57142857 0.5       ]"
Semantic_Density_orig,0.07142857142857145,0.07389656418635444,"[0.59090909 0.5        0.54545455 0.42036427 0.59090909 0.59090909
 0.54545455 0.54545455 0.59090909 0.54640095 0.         0.54545455
 0.59090909 0.59090909 0.54545455 0.54545455 0.54545455 0.54545455
 0.59090909 0.59090909 0.59090909 0.59090909 0.54545455 0.54545455
 0.54545455 0.54545455]"
SentenceSAR_orig,0.06547619047619051,0.11599026319343106,"[0.59090909 0.5        0.5        0.39602478 0.59090909 0.59090909
 0.54545455 0.54545455 0.59090909 0.54813526 0.         0.54545455
 0.59090909 0.59090909 0.54545455 0.54545455 0.54545455 0.54545455
 0.59090909 0.59090909 0.59090909 0.59090909 0.54545455 0.54545455
 0.54545455 0.5       ]"
Eccentricity_orig,0.0029761904761904773,0.0733746709539292,"[0.91016931 0.56521739 0.52173913 0.52173913 0.56521739 0.56521739
 0.00605105 0.54166667 0.54166667 0.56521739 0.52173913 0.52173913
 0.56521739 0.56521739 0.52173913 0.52173913 0.52173913 0.52173913
 0.56521739 0.56521739 0.56521739 0.56521739 0.52173913 0.52173913
 0.52173913 0.52173913]"
EigValLaplacian_orig,0.0,0.11335562987736894,"[0.66666667 0.56521739 0.5        0.52173913 0.56521739 0.56521739
 0.         0.52173913 0.56       0.56521739 0.52173913 0.52173913
 0.56521739 0.56521739 0.52173913 0.5        0.52173913 0.52173913
 0.66666667 0.56521739 0.56521739 0.56521739 0.52173913 0.52173913
 0.52173913 0.52173913]"
Semantic_Entropy_orig,0.0,0.06000000000000019,"[1.   0.56 0.52 0.52 0.56 0.56 0.52 0.52 0.56 0.56 0.52 0.52 0.56 0.56
 0.52 0.52 0.52 0.52 0.56 0.56 0.56 0.56 0.52 0.52 0.52 0.52]"
NumSemSets_orig,0.0,0.06000000000000019,"[1.   0.56 0.52 0.52 0.56 0.56 0.52 0.52 0.56 0.56 0.52 0.52 0.56 0.56
 0.52 0.52 0.52 0.52 0.56 0.56 0.56 0.56 0.52 0.52 0.52 0.52]"
NumSemSets_inv,0.0,0.06512820512820498,"[0.56       0.58333333 0.54166667 0.54166667 0.58333333 0.58333333
 0.54166667 0.54166667 0.58333333 0.58333333 0.325      0.54166667
 0.58333333 0.58333333 0.54166667 0.54166667 0.54166667 0.54166667
 0.58333333 0.58333333 0.58333333 0.58333333 0.54166667 0.54166667
 0.54166667 0.54166667]"
