Model,Method,AUROC,ECE
llama-3.1-8b-instant,iTME,0.6007130124777184,0.2466119749887795
llama-3.1-8b-instant,SAME,0.6399286987522282,0.3410517494610375
llama-3.1-8b-instant,Semantic_Entropy,0.5138146167557932,
llama-3.1-8b-instant,Semantic_Density,0.39572192513368987,
llama-3.1-8b-instant,DegMat,0.4861853832442068,
llama-3.1-8b-instant,Eccentricity,0.47593582887700536,
qwen/qwen3-32b,iTME,0.6060606060606061,0.2685191335658647
qwen/qwen3-32b,SAME,0.6060606060606061,0.3486504163213935
qwen/qwen3-32b,Semantic_Entropy,0.4982174688057041,
qwen/qwen3-32b,Semantic_Density,0.3966131907308378,
qwen/qwen3-32b,DegMat,0.47593582887700536,
qwen/qwen3-32b,Eccentricity,0.5909090909090909,
meta-llama/llama-4-scout-17b-16e-instruct,iTME,0.4839572192513369,0.2775961224535361
meta-llama/llama-4-scout-17b-16e-instruct,SAME,0.5962566844919786,0.34766305103618733
meta-llama/llama-4-scout-17b-16e-instruct,Semantic_Entropy,0.5066844919786097,
meta-llama/llama-4-scout-17b-16e-instruct,Semantic_Density,0.4857397504456328,
meta-llama/llama-4-scout-17b-16e-instruct,DegMat,0.5115864527629234,
meta-llama/llama-4-scout-17b-16e-instruct,Eccentricity,0.5187165775401069,
OVERALL,iTME,0.5643691820162409,0.25673304232541977
OVERALL,SAME,0.6002178649237473,0.3431746737586002
OVERALL,Semantic_Entropy,0.5090612002376708,
OVERALL,Semantic_Density,0.4328579916815211,
OVERALL,DegMat,0.4950980392156863,
OVERALL,Eccentricity,0.5199049316696376,
